"METRIC_KEY","METRIC_ID","METRIC_DATE","LOCATION_ID","NUMERATOR","DENOMINATOR","FISCAL_DATE","LAST_CHANGE_DT","LAST_CHANGE_ACTION"
"5900001","293","2021-03-20","27400001","568.0000","18.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","28500001","871.0000","22.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","36200001","28.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","24000001","1063.0000","24.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","22400001","161.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","41200001","175.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","34500001","2.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","39500001","100.0000","3.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","36700001","468.0000","15.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","37300001","475.0000","13.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","24600001","868.0000","9.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","29600001","46.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","26800001","586.0000","15.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","35600001","534.0000","16.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","22900001","588.0000","11.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","38900001","57.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","45000001","804.0000","21.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","21800001","3.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","20700001","82.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","27900001","1006.0000","40.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","42800001","169.0000","2.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","40600001","522.0000","14.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","42300001","189.0000","8.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","20100001","162.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","25100001","2182.0000","46.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","46600001","740.0000","24.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","23900001","153.0000","4.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","31100001","578.0000","18.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","44400001","38.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","23400001","105.0000","5.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
"5900001","293","2021-03-20","30000001","16.0000","1.0000","2021-03-21","2021-04-11 06:44:47.720000","NULL"
